Ramo,origin,development,Pagados,Pendientes,Incurridos,Cantidad
Daño parcial,2001-01-01,16.0,32191.73833749337,-27470.96629717318,4720.772040322127,9.508419967731744
Daño parcial,2001-01-01,18.0,13984.210837933802,,13984.210837933802,1.6980835936482286
Daño parcial,2001-01-01,19.0,,86.65067475784934,86.65067475784934,1.110906086639094
Daño parcial,2002-01-01,1.0,803925403.1876987,132461817.8577262,936387221.0454249,1365724.1048223393
Daño parcial,2002-01-01,2.0,145531600.28948054,-93474563.83171134,52057036.457769185,59925.3578331348
Daño parcial,2002-01-01,3.0,6879627.083141948,2598006.4891809234,9477633.572322892,574.839413447523
Daño parcial,2002-01-01,4.0,2318426.7646047054,5436957.687288067,7755384.451892739,729.8036047132728
Daño parcial,2002-01-01,5.0,1994030.0032934141,1247645.278108786,3241675.281402214,44.856855094969774
Daño parcial,2002-01-01,6.0,1073645.6859454461,128390.82800138243,1202036.5139468526,857.6810721670308
Daño parcial,2002-01-01,7.0,860179.5603103588,-17512960.75949142,-16652781.19918112,84.32336950506823
Daño parcial,2002-01-01,8.0,2526548.267368514,2613528.315215028,5140076.582583575,96.93326299438397
Daño parcial,2002-01-01,9.0,155421.90652016885,-2713043.7785315714,-2557621.8720114287,113.10163207988981
Daño parcial,2002-01-01,10.0,265371.54588995007,-213168.7780195964,52202.767870399504,83.76338878804994
Daño parcial,2002-01-01,11.0,35538.65529091402,5129636.924635558,5165175.579926463,7.400032335432384
Daño parcial,2002-01-01,12.0,14704.214264588198,1537400.6575709367,1552104.8718355005,12.41265243527099
Daño parcial,2002-01-01,13.0,256912.79662227962,-5517503.674457718,-5260590.877835443,50.680152680370384
Daño parcial,2002-01-01,14.0,23379.205009968024,167987.876844099,191367.08185407813,11.926685127517022
Daño parcial,2002-01-01,15.0,17325.13354953788,-7955.916850133493,9369.216699398483,12.67789329030899
Daño parcial,2002-01-01,16.0,-4008.550192261201,4008.550192261201,,5.070904734043265
Daño parcial,2002-01-01,17.0,20377.003123778744,,20377.003123778744,
Daño parcial,2002-01-01,18.0,10020.372901484629,208.8503442881497,10229.223245772779,
Daño parcial,2003-01-01,1.0,723971116.5290593,124853808.88506074,848824925.4141202,1625898.9680722163
Daño parcial,2003-01-01,2.0,146416216.8092443,-92524382.02203186,53891834.78721236,40148.94028297544
Daño parcial,2003-01-01,3.0,5870170.376269488,6064606.873778644,11934777.250048107,1618.2601669729092
Daño parcial,2003-01-01,4.0,784066.5767843019,859759.9778686719,1643826.5546529947,478.4731210130109
Daño parcial,2003-01-01,5.0,-18218.835344621057,-325589.8997274657,-343808.7350721503,1169.5650984095876
Daño parcial,2003-01-01,6.0,1785583.1264708668,-17196975.315097272,-15411392.188626347,361.38586930743526
Daño parcial,2003-01-01,7.0,312646.60779684543,782725.2206134705,1095371.8284102576,247.7183387634257
Daño parcial,2003-01-01,8.0,113735.94373310976,-191323.6633399416,-77587.7196068044,122.52676808654729
Daño parcial,2003-01-01,9.0,27995.81861768599,-1052374.9047076495,-1024379.0860899406,67.01071103043995
Daño parcial,2003-01-01,10.0,1199415.5190067405,-165847.45269265666,1033568.0663140374,14.800064670864767
Daño parcial,2003-01-01,11.0,189413.78680933258,-216016.27319230192,-26602.486382971154,6.206326217635495
Daño parcial,2003-01-01,12.0,61244.43050659359,-3775.7727349929014,57468.65777162179,45.61213741233335
Daño parcial,2003-01-01,13.0,240395.77614369322,-96168.55945555924,144227.21668813514,23.853370255034044
Daño parcial,2003-01-01,14.0,10187.955048087582,-116092.800038155,-105904.84499007299,6.338946645154495
Daño parcial,2003-01-01,16.0,90051.07105475922,-47546.340622150376,42504.73043260881,
Daño parcial,2003-01-01,17.0,5150.60498009184,8384.874742612805,13535.479722705986,1.110906086639094
Daño parcial,2004-01-01,1.0,911567849.3271663,158485748.75468317,1070053598.08185,1877623.1253679828
Daño parcial,2004-01-01,2.0,208075747.73653236,-105229992.90520781,102845754.83132412,63873.68070816601
Daño parcial,2004-01-01,3.0,10811095.833126334,-2577525.1334346742,8233570.699691675,702.7573964878598
Daño parcial,2004-01-01,4.0,3101984.620178961,-1701439.381499231,1400545.2386797576,2923.912746023969
Daño parcial,2004-01-01,5.0,1031895.5495085125,-16845510.090212103,-15813614.540703593,373.4320649510164
Daño parcial,2004-01-01,6.0,635779.4559843944,31039.000143431214,666818.4561278325,323.11087664794655
Daño parcial,2004-01-01,7.0,932784.4097715358,521083.25308886863,1453867.662860377,75.40108805325987
Daño parcial,2004-01-01,8.0,155444.41132377638,-69503.42571738326,85940.98560636288,83.76338878804994
Daño parcial,2004-01-01,9.0,45320.906035782034,39386.30210372175,84707.20813952618,22.20009700629715
Daño parcial,2004-01-01,10.0,9433.615850805953,-831050.5404544949,-821616.9246036969,12.41265243527099
Daño parcial,2004-01-01,11.0,1469.7244277307411,575835.0913360491,577304.8157637888,5.068015268037039
Daño parcial,2004-01-01,12.0,430432.3170049467,662230.2253514265,1092662.5423563654,7.951123418344681
Daño parcial,2004-01-01,13.0,56997.27265458061,-81054.01889919753,-24056.746244604743,
Daño parcial,2004-01-01,14.0,49033.7471889231,307379.73617542366,356413.48336433526,5.070904734043265
Daño parcial,2004-01-01,15.0,,367986.21076949994,367986.2107695057,1.6980835936482286
Daño parcial,2004-01-01,16.0,0.11109061031928848,467468.1370244611,467468.2481150705,
Daño parcial,2005-01-01,1.0,1156876264.791466,210255046.3284641,1367131311.1199281,2334990.767984362
Daño parcial,2005-01-01,2.0,310892686.58661157,-163002741.22714296,147889945.35947058,74910.94800859952
Daño parcial,2005-01-01,3.0,9535728.958900701,-160568.55274722565,9375160.406153524,18349.176877270416
Daño parcial,2005-01-01,4.0,2453566.1171357026,-8227229.509294442,-5773663.392158795,481.847825743247
Daño parcial,2005-01-01,5.0,2717247.122026338,7149605.442901411,9866852.564927764,409.27377708739897
